Lehçe,Türkçe,Fonetik,Örnek Cümle,Çeviri,Zorluk
być,olmak,bıç,Chcę być nauczycielem.,Öğretmen olmak istiyorum.,Kolay
mieć,sahip olmak,myeç,Mam psa.,Köpeğim var.,Kolay
iść,gitmek,işç,Idę do szkoły.,Okula gidiyorum.,Kolay
jeść,yemek,yeşç,Jem śniadanie.,Kahvaltı yiyorum.,Kolay
pić,içmek,piç,Piję wodę.,Su içiyorum.,Kolay
spać,uyumak,spaç,Śpię w łóżku.,Yatakta uyuyorum.,Kolay
kochać,sevmek,kohać,Kocham moją rodzinę.,Ailemi seviyorum.,Kolay
mieszkać,yaşamak,myeşkać,Mieszkam w Warszawie.,Varşova'da yaşıyorum.,Kolay
pracować,çalışmak,praţovać,Pracuję w biurze.,Ofiste çalışıyorum.,Kolay
mówić,konuşmak,muviç,Mówię po polsku.,Lehçe konuşuyorum.,Kolay
czytać,okumak,çıtać,Czytam książkę.,Kitap okuyorum.,Kolay
pisać,yazmak,pisaç,Piszę list.,Mektup yazıyorum.,Kolay
słuchać,dinlemek,suuhać,Słucham muzyki.,Müzik dinliyorum.,Kolay
bawić się,oynamak,baviç şe,Dzieci bawią się w parku.,Çocuklar parkta oynuyor.,Kolay
śmiać się,gülmek,şmyaç şe,Śmieję się z żartu.,Şakaya gülüyorum.,Kolay
płakać,ağlamak,puakać,Dziecko płacze.,Çocuk ağlıyor.,Kolay
myśleć,düşünmek,mışleç,Myślę o wakacjach.,Tatili düşünüyorum.,Kolay
widzieć,görmek,viceç,Widzę piękny zachód słońca.,Güzel bir günbatımı görüyorum.,Kolay
słyszeć,duymak,suışeç,Słyszę muzykę.,Müzik duyuyorum.,Kolay
czuć,hissetmek,çuç,Czuję się dobrze.,Kendimi iyi hissediyorum.,Kolay
biegać,koşmak,byegać,Biegam w parku.,Parkta koşuyorum.,Kolay
tańczyć,dans etmek,tańçıç,Lubię tańczyć.,Dans etmeyi seviyorum.,Kolay
śpiewać,şarkı söylemek,şpyevaç,Śpiewam w chórze.,Koroda şarkı söylüyorum.,Kolay
grać,oynamak (enstrüman/oyun),grać,Gram na gitarze.,Gitar çalıyorum.,Kolay
gotować,yemek pişirmek,gotovać,Gotuję obiad.,Öğle yemeği pişiriyorum.,Kolay
uczyć,öğretmek,uçıç,Uczę języka angielskiego.,İngilizce öğretiyorum.,Kolay
malować,boyamak/resim yapmak,malovać,Maluję obraz.,Resim yapıyorum.,Kolay
rysować,çizmek,rısovać,Rysuję kwiaty.,Çiçek çiziyorum.,Kolay
oglądać,izlemek,oglondać,Oglądam telewizję.,Televizyon izliyorum.,Kolay
sprzątać,temizlemek,spşontać,Sprzątam dom.,Evi temizliyorum.,Kolay
robić,yapmak,robiç,Robię zakupy.,Alışveriş yapıyorum.,Kolay
prosić,rica etmek,proşiç,Proszę o pomoc.,Yardım rica ediyorum.,Kolay
dziękować,teşekkür etmek,cenkować,Dziękuję za prezent.,Hediye için teşekkür ederim.,Kolay
przepraszać,özür dilemek,pşepraşać,Przepraszam za spóźnienie.,Geç kaldığım için özür dilerim.,Kolay
wracać,geri dönmek,vraţać,Wracam do domu.,Eve dönüyorum.,Kolay
wstawać,kalkmak,vstavać,Wstaję wcześnie rano.,Sabah erken kalkıyorum.,Kolay
ubierać się,giyinmek,ubyerać şe,Ubieram się do pracy.,İşe gitmek için giyiniyorum.,Kolay
zamykać,kapatmak,zamıkać,Zamykam drzwi.,Kapıyı kapatıyorum.,Kolay
otwierać,açmak,otvyerać,Otwieram okno.,Pencereyi açıyorum.,Kolay
szukać,aramak,şukać,Szukam kluczy.,Anahtarları arıyorum.,Kolay
znajdować,bulmak,znaydovać,Znajduję rozwiązanie.,Bir çözüm buluyorum.,Kolay
gubić,kaybetmek,gubiç,Gubię często telefon.,Sık sık telefonumu kaybediyorum.,Kolay
pytać,sormak,pıtać,Pytam o drogę.,Yol soruyorum.,Kolay
odpowiadać,cevap vermek,odpovyadać,Odpowiadam na pytania.,Sorulara cevap veriyorum.,Kolay
pamiętać,hatırlamak,pamyentać,Pamiętam twoje imię.,Adını hatırlıyorum.,Kolay
zapominać,unutmak,zapomınać,Zapominam kluczy.,Anahtarları unutuyorum.,Kolay
zaczynać,başlamak,zaçınać,Zaczynam nową pracę.,Yeni bir işe başlıyorum.,Kolay
kończyć,bitirmek,końçıć,Kończę projekt.,Projeyi bitiriyorum.,Kolay
wchodzić,girmek,vhociç,Wchodzę do sklepu.,Mağazaya giriyorum.,Kolay
wychodzić,çıkmak,vıhociç,Wychodzę z domu.,Evden çıkıyorum.,Kolay
siedzieć,oturmak,şyeceç,Siedzę przy biurku.,Masada oturuyorum.,Kolay
stać,ayakta durmak,staç,Stoję w kolejce.,Sırada ayakta duruyorum.,Kolay
leżeć,yatmak,lejeç,Leżę na plaży.,Plajda yatıyorum.,Kolay
bać się,korkmak,baç şe,Boję się pająków.,Örümceklerden korkuyorum.,Kolay
cieszyć się,sevinmek,çyeşıç şe,Cieszę się z wygranej.,Kazandığım için seviniyorum.,Kolay
denerwować się,sinirlenmek,denervovać şe,Denerwuję się przed egzaminem.,Sınav öncesi sinirleniyorum.,Kolay
uśmiechać się,gülümsemek,uşmyehać şe,Uśmiecham się do ciebie.,Sana gülümsüyorum.,Kolay
płacić,ödemek,puaçiç,Płacę rachunek.,Hesabı ödüyorum.,Kolay
kupować,satın almak,kupovać,Kupuję nowe buty.,Yeni ayakkabı satın alıyorum.,Kolay
sprzedawać,satmak,spşedavać,Sprzedaję stary samochód.,Eski arabamı satıyorum.,Kolay
zarabiać,para kazanmak,zarabyać,Zarabiam dużo pieniędzy.,Çok para kazanıyorum.,Kolay
oszczędzać,biriktirmek,oşçencać,Oszczędzam na wakacje.,Tatil için para biriktiriyorum.,Kolay
rozumieć,anlamak,rozumyeç,Nie rozumiem tego problemu.,Bu problemi anlamıyorum.,Orta
wyjaśniać,açıklamak,vıyaşnyać,Wyjaśniam trudne zagadnienie.,Zor konuyu açıklıyorum.,Orta
tłumaczyć,tercüme etmek,tuumaçıç,Tłumaczę tekst na polski.,Metni Lehçeye tercüme ediyorum.,Orta
uczyć się,öğrenmek,uçıç şe,Uczę się do egzaminu.,Sınava çalışıyorum.,Orta
zdawać,sınav vermek,zdavać,Zdaję egzamin z matematyki.,Matematik sınavı veriyorum.,Orta
rozwiązywać,çözmek,rozvyonzıvać,Rozwiązuję trudne zadanie.,Zor problemi çözüyorum.,Orta
